,Unnamed: 0,orig,dest,airline,dep_date,ret_date,search_date,price
77524,77524,LHR,EWR,BA,2021-01-08,2021-01-21,2020-05-10,617.4675
77554,77554,FRA,GDN,LH,2020-12-13,2020-12-21,2020-04-15,256.9435
77634,77634,LHR,EDI,BA,2021-01-10,2021-01-21,2020-05-10,617.4675
77708,77708,JNB,WDH,SA,2021-01-15,2021-01-25,2020-05-29,232.08049999999997
77767,77767,MUC,LHR,LH,2021-03-11,2021-03-15,2020-06-02,724.9315000000001
77781,77781,FRA,PEK,CA,2021-01-14,2021-01-27,2020-04-22,913.7605000000003
77828,77828,FRA,MEX,LH,2021-01-09,2021-01-28,2020-04-14,305.6719999999999
77891,77891,FRA,PRG,LH,2021-01-18,2021-01-28,2020-04-22,913.7605000000003
77946,77946,FRA,PEK,LH,2021-01-18,2021-01-28,2020-04-22,913.7605000000003
78001,78001,FRA,PEK,LH,2021-01-09,2021-01-27,2020-04-22,782.5070000000003
78057,78057,FRA,DEL,LH,2021-01-18,2021-01-28,2020-04-23,1052.9660000000001
78103,78103,FRA,ATH,LH,2020-12-13,2020-12-21,2020-04-14,173.97650000000004
78195,78195,MAD,EZE,IB,2021-01-17,2021-01-28,2020-05-21,259.35650000000004
78237,78237,FMO,FRA,LH,2020-12-16,2020-12-21,2020-05-08,1051.4335
78297,78297,MUC,GDN,LH,2021-03-07,2021-03-15,2020-05-13,680.7584999999998
78320,78320,MUC,LIS,TP,2021-03-07,2021-03-15,2020-04-11,240.1805
78400,78400,MUC,LCA,LH,2021-01-20,2021-01-28,2020-05-06,695.5625000000003
78451,78451,FRA,KRK,LH,2020-12-13,2020-12-21,2020-05-02,467.3720000000001
78512,78512,FRA,RIX,LH,2021-01-20,2021-01-28,2020-05-08,1133.9050000000002
78569,78569,MUC,OTP,LH,2021-03-06,2021-03-15,2020-05-10,843.7814999999997
78595,78595,FRA,SIN,SQ,2020-12-29,2021-01-22,2020-04-11,164.8899999999999
78672,78672,FRA,EDI,LH,2020-12-16,2020-12-21,2020-05-03,366.062
78705,78705,FRA,SIN,SQ,2020-12-28,2021-01-22,2020-04-11,164.8899999999999
78772,78772,FRA,SIN,SQ,2021-01-11,2021-01-22,2020-04-23,162.88999999999996
78836,78836,FRA,KEF,FI,2020-12-10,2020-12-18,2020-05-02,652.3785
78882,78882,FRA,SIN,SQ,2021-01-12,2021-01-22,2020-04-23,162.88999999999996
78927,78927,FRA,SIN,SQ,2021-01-13,2021-01-22,2020-04-13,164.3899999999999
79015,79015,FRA,LIS,LH,2020-12-13,2020-12-21,2020-05-16,168.78000000000006
79080,79080,FRA,YYC,AC,2021-01-03,2021-01-27,2020-05-26,341.32400000000007
79112,79112,FRA,EDI,LH,2020-12-15,2020-12-22,2020-05-03,366.062
79183,79183,FRA,YUL,LH,2021-01-16,2021-01-28,2020-05-19,912.0350000000003
79242,79242,FRA,YYC,AC,2021-01-14,2021-01-28,2020-05-23,402.05550000000005
79289,79289,FRA,ICN,LH,2021-02-28,2021-03-14,2020-05-15,868.5649999999997
79335,79335,FRA,MAD,IB,2020-12-10,2020-12-21,2020-05-06,739.1995000000003
79410,79410,FRA,YYZ,AC,2021-01-06,2021-01-28,2020-05-26,352.32400000000007
79462,79462,FRA,YYC,AC,2021-01-14,2021-01-27,2020-05-23,402.05550000000005
79496,79496,FRA,LED,LH,2020-12-16,2020-12-21,2020-05-02,401.112
79553,79553,MUC,MEX,LH,2021-02-27,2021-03-15,2020-05-04,793.0245
79632,79632,FRA,YYC,AC,2021-01-13,2021-01-27,2020-05-28,402.68950000000007
79657,79657,FRA,SCL,LA,2020-12-11,2020-12-28,2020-04-28,1119.7455000000002
79740,79740,FRA,YYZ,AC,2021-01-05,2021-01-27,2020-05-26,342.32400000000007
79751,79751,FRA,EDI,LH,2021-03-08,2021-03-17,2020-04-12,276.52999999999986
79834,79834,DXB,RGN,EK,2020-12-25,2021-01-06,2020-05-10,491.1850000000002
79862,79862,FRA,YYZ,LH,2020-12-09,2020-12-22,2020-04-13,746.9000000000003
79927,79927,FRA,ARN,LH,2021-03-12,2021-03-16,2020-04-23,177.78599999999997
80010,80010,MAD,EZE,IB,2021-01-09,2021-01-27,2020-05-21,263.1435
80030,80030,DXB,CMB,EK,2021-02-05,2021-02-22,2020-04-16,165.957
80109,80109,DXB,CMB,EK,2021-02-13,2021-02-22,2020-05-10,173.69500000000008
80164,80164,DXB,CMB,EK,2021-02-08,2021-02-22,2020-05-10,170.54500000000004
80219,80219,DXB,CMB,EK,2021-02-09,2021-02-22,2020-05-10,174.14500000000007
80256,80256,FRA,PEK,CA,2021-01-18,2021-01-27,2020-04-22,913.7605000000003
80309,80309,CMN,RAK,AT,2021-01-19,2021-01-27,2020-04-20,263.5559999999999
80380,80380,FRA,SIN,SQ,2020-12-04,2020-12-16,2020-05-06,124.88999999999993
80461,80461,FRA,YUL,AC,2020-12-09,2020-12-21,2020-06-01,412.04200000000014
80465,80465,IST,BKK,TK,2021-02-24,2021-03-10,2020-04-11,643.7914999999998
80564,80564,SIN,ADL,SQ,2021-01-03,2021-01-21,2020-05-25,978.0345
80593,80593,SIN,CHC,SQ,2020-12-29,2021-01-21,2020-04-29,428.2470000000001
80641,80641,FRA,PEK,LH,2020-12-05,2020-12-21,2020-04-22,782.5880000000003
80711,80711,SIN,KNO,MI,2021-01-02,2021-01-21,2020-05-07,525.6299999999999
80790,80790,SIN,MDL,MI,2020-12-31,2021-01-21,2020-05-31,348.1864999999998
80806,80806,FRA,PEK,LH,2020-12-05,2020-12-22,2020-04-22,782.5880000000003
80877,80877,SIN,CGK,SQ,2021-02-23,2021-03-10,2020-05-08,542.8675000000002
80916,80916,FRA,BUD,LH,2021-03-11,2021-03-16,2020-04-22,868.4699999999998
80971,80971,FRA,PEK,LH,2020-12-04,2020-12-20,2020-04-22,782.5880000000003
81055,81055,SIN,DRW,MI,2021-02-19,2021-03-10,2020-05-21,285.825
81081,81081,FRA,PEK,LH,2020-12-05,2020-12-20,2020-04-22,782.5880000000003
81161,81161,AMS,LIM,KL,2021-01-09,2021-01-25,2020-05-17,391.8455
81227,81227,SIN,KUL,SQ,2021-02-17,2021-03-10,2020-05-28,729.5135000000001
81259,81259,SIN,MNL,SQ,2021-02-25,2021-03-10,2020-05-05,236.36499999999995
81301,81301,MUC,LIS,TP,2021-01-19,2021-01-27,2020-04-22,311.6510000000001
81370,81370,FRA,SIN,SQ,2020-12-03,2020-12-16,2020-05-06,124.88999999999993
81419,81419,MUC,MAD,LH,2021-01-17,2021-01-27,2020-04-30,643.3054999999998
81455,81455,SIN,RGN,SQ,2021-02-23,2021-03-10,2020-04-11,178.16700000000077
81519,81519,CMN,RAK,AT,2021-01-17,2021-01-27,2020-04-20,263.5559999999999
81565,81565,SIN,RGN,SQ,2021-02-22,2021-03-10,2020-04-11,178.16700000000077
81620,81620,IST,BKK,TK,2021-02-23,2021-03-10,2020-04-11,643.7914999999998
81686,81686,FRA,PEK,LH,2020-12-06,2020-12-20,2020-04-22,782.5880000000003
81768,81768,FRA,VCE,LH,2021-03-09,2021-03-16,2020-05-19,774.2999999999997
81833,81833,LEJ,DUB,LH,2021-01-19,2021-01-27,2020-05-29,199.8765
81851,81851,FRA,ADD,ET,2020-12-11,2020-12-26,2020-04-22,2483.890000000001
81907,81907,FRA,JNB,SA,2020-12-05,2020-12-19,2020-04-23,555.3989999999999
81962,81962,HAM,LHR,BA,2021-01-06,2021-01-19,2020-04-23,144.7225
82017,82017,FRA,JNB,SA,2020-12-07,2020-12-19,2020-04-23,551.3539999999998
82074,82074,FRA,YUL,AC,2021-01-13,2021-01-25,2020-04-25,570.5269999999998
82153,82153,FRA,YYZ,LH,2021-01-13,2021-01-26,2020-05-19,913.2765000000003
82182,82182,FRA,JNB,SA,2020-12-06,2020-12-19,2020-04-23,531.0949999999998
82270,82270,FRA,YYC,AC,2021-01-09,2021-01-25,2020-05-26,356.32400000000007
